,brand,model,price,biz30day,total_sold_price
147,joyoung/九阳, JYL-C051料理机,75.0,1154.0,86550.0
148,meichen/美星晨,MXC-02,288.0,582.0,167907.0
149,joyoung/九阳, JYL-C16D,106.0,4.0,424.4
150,joyoung/九阳, JYL-C16V,166.0,34.0,5656.0
151,joyoung/九阳, JYL-C19V,139.0,70.0,9730.0
152,joyoung/九阳, JYL-C50T,109.0,1859.0,202643.33
153,joyoung/九阳, JYL-C50T料理机,99.0,9.0,891.0
154,joyoung/九阳, JYL-C902D,199.0,4.0,796.0
155,joyoung/九阳, JYL-C91T料理机,88.0,412.0,36256.0
156,joyoung/九阳, JYL-D020,197.0,2267.0,447593.0
157,joyoung/九阳, JYL-D022,232.0,105.0,24375.0
158,midea/美的, BL25B31,195.0,22.0,4310.0
159,joyoung/九阳, JYL-F901,155.0,200.0,31015.0
160,joyoung/九阳, JYL-G12,399.0,17.0,6783.0
161,midea/美的, BL25B36,98.0,10.0,980.0
162,midea/美的, MJ-BL10K21,511.0,7.0,3577.0
163,joyoung/九阳, JYL-G12E,380.0,321.0,122199.0
164,joyoung/九阳, JYL-Y11,599.0,12.0,7188.0
165,joyoung/九阳, JYL-Y12H,644.0,31.0,19964.0
166,joyoung/九阳, JYL-Y29,576.0,36.0,20757.5
167,joyoung/九阳, JYL-Y15,710.0,887.0,630387.56
168,joyoung/九阳, JYL-Y16,1002.0,212.0,212458.0
169,joyoung/九阳, JYL-Y20,1254.0,83.0,104164.0
170,joyoung/九阳, JYL-Y3,569.0,80.0,45520.0
171,joyoung/九阳, JYL-Y60,1241.0,123.0,152679.91
172,joyoung/九阳, JYL-Y8 PLUS,782.0,52.0,40687.0
173,joyoung/九阳, JYL-Y910,1439.0,5.0,7195.0
174,joyoung/九阳, JYL-Y912,685.0,24.0,16440.0
175,joyoung/九阳, JYL-Y917,955.0,10.0,9551.0
176,kaiso/凯索,1500,106.0,1.0,106.8
177,joyoung/九阳, JYL-Y99,399.0,2.0,798.0
178,joyoung/九阳, JYS-A800,94.0,16.0,1519.0
179,joyoung/九阳, JYS-A950,171.0,110.0,18846.0
180,joyoung/九阳, JYZ-Y20,694.0,37.0,25707.6
181,joyoung/九阳, Y92,699.0,14.0,9786.0
182,keabo/凯博,KB-1525AWN,299.0,144.0,43056.0
183,kesun/科顺,BL-806A,79.0,17.0,1343.0
184,kingpro,J-1205,2980.0,1.0,2980.0
185,kitchenaid,5KHB2569C,2199.0,1.0,2199.0
186,kitchenaid,料理机,699.0,8.0,5592.0
187,krobell/康贝尔,2166,97.0,518.0,50621.82
188,krobell/康贝尔,2168,104.0,41.0,4264.0
189,krups,KB255,510.0,16.0,8165.0
190,krups,KB30380,750.0,119.0,89320.0
191,krups,KB870B80,2400.0,5.0,12000.0
192,ladyship/贵夫人,LS-658,1980.0,2.0,3960.0
193,letgoo/力果,LG-SY6B,398.0,2.0,796.0
194,liven/利仁,LL-A,96.0,265.0,25441.0
195,liven/利仁,LLJ-W501,199.0,7.0,1393.0
196,long plus,HB-1250,142.0,34.0,4834.0
197,lotek/乐泰,HB-103SC,129.0,14.0,1806.0
198,midea/美的, MJ-BL10S11,758.0,2.0,1516.0
199,luby/洛贝,LBL-GH01,1980.0,1.0,1980.0
200,luby/洛贝,LBL-GH03,1080.0,9.0,9720.0
201,maizi kitchen/麦子厨房,BL772,498.0,17.0,8466.0
202,meichen/美星晨,010 800W 220V～ 50HZ,149.0,451.0,67199.0
203,midea/美的, MJ-Power701,2013.0,151.0,304069.0
204,mekka/麦嘉,MJ2050,238.0,232.0,55216.0
205,midea/美的, MJ-WBL1008Q,664.0,26.0,17288.0
206,mekka/麦嘉,MJ2240,208.0,1063.0,221104.0
207,midea/美的, BL25B26,125.0,263.0,32875.0
208,midea/美的, MJ-BL1206A,1655.0,62.0,102658.2
209,midea/美的, MJ-BL12K31,1723.0,90.0,155070.0
210,midea/美的, MJ-BL25B12,129.0,1.0,129.0
211,midea/美的, MJ-BL25B2,101.0,1568.0,159179.28
212,midea/美的, MJ-BL80Y21,461.0,19.0,8768.0
213,midea/美的, MJ-LZ15Easy209,219.0,367.0,80373.0
214,midea/美的, MJ-PB80Easy210,1299.0,2.0,2598.0
215,midea/美的, MJ-WBL8005P,540.0,3.0,1622.2
216,midea/美的, MJ-WBL2501A,213.0,674.0,143956.0
217,midea/美的, MJ-WBL2501B,88.0,9063.0,804526.0
218,midea/美的, MJ-WBL2501C,118.0,3.0,356.4
219,midea/美的, PB80Easy210,1.0,2140.0,2140.0
220,midea/美的, MJ-WBL2521H,103.0,294.0,30286.0
221,midea/美的, WBL1022S,1036.0,38.0,39372.0
222,midea/美的, MJ-WBL2531H,131.0,126.0,16584.0
223,midea/美的, WBL2531H,125.0,2782.0,348845.5
224,midea/美的, WBL25B36,106.0,79.0,8407.6
225,midea/美的, 美的破壁机,641.0,364.0,233676.0
226,milate/美莱特,MS-1,199.0,261.0,51939.0
227,minimei,MM-201,109.0,27.0,2943.0
228,murenking/牧人王,H19,199.0,1.0,199.0
229,nathome/北欧欧慕,NJB103SA,199.0,408.0,81222.0
230,panasonic/松下, MK-GB1,306.0,4.0,1226.0
231,panasonic/松下, MK-GH1,199.0,73.0,14527.0
232,panasonic/松下, MX-GS1,199.0,133.0,26475.0
233,panasonic/松下, MX-S401,799.0,20.0,15980.0
234,panasonic/松下, MX-GX1061,299.0,149.0,44551.0
235,panasonic/松下, MX-PSC101G1,498.0,5.0,2490.0
236,panasonic/松下, MX-SS40,499.0,541.0,269959.0
237,panasonic/松下, MX-XC501,699.0,21.0,14679.0
238,panasonic/松下, MX-XC701,799.0,12.0,9588.0
239,panasonic/松下, MX-ZX1800,2958.0,44.0,130156.0
240,panasonic/松下, mx-ss1,348.0,3403.0,1185657.0
241,peskoe/半球,HB-J103,85.0,147.0,12495.0
242,peskoe/半球,HB-K805,399.0,374.0,149226.0
