,brand,model,biz30day,total_sold_price,submarket,target_score,sku
20,hattiecs/海蒂诗,RBM-775,1057.0,390033.0,"{'3': '全自动', '4': '婴儿辅食'}",,"{'产品功能': '榨汁 绞肉 碎冰 干磨 搅拌 制奶昔 绞肉', '适用人数': '4-5人', '颜色分类': '至尊红 流光金'}"
21,家必康,2160,1.0,198.0,{'4': '婴儿辅食'},,"{'产品功能': '榨汁 切菜 绞肉 碎冰 干磨 搅拌 和面 打蛋 制奶昔 混合 绞肉 切丝 切片', '适用人数': '4-5人', '颜色分类': '红色'}"
22,隆粤,B717,18.0,7182.0,{'4': '婴儿辅食'},,"{'产品功能': '榨汁 绞肉 碎冰 干磨 搅拌 制奶昔 绞肉', '适用人数': '4-5人', '颜色分类': '玫瑰金'}"
23,bear/小熊,QSJ-B02U2,8389.0,939351.0,"{'4': '婴儿辅食', '5': '小容量'}","{'功能': {'蒜': 3.0, '丸子': 1.0, '刀锋': 3.0, '功率': 1.0, '南瓜': 8.0, '土豆': 3.0, '垫圈': 1.0, '大米': 1.0, '小米': 2.0, '手压': 1.0, '搅碎': 1.0, '效率': -1.0, '木瓜': 1.0, '构造': 1.0, '果汁': 8.0, '果肉': 2.0, '梨汁': 2.0, '榨汁': 7.0, '橙汁': 1.0, '水果': 11.0, '熟食': 1.0, '燕麦': -1.0, '牛肉': 3.0, '猪肉': -1.0, '生肉': 1.0, '生食': 1.0, '瘦肉': 1.0, '碎肉': 2.0, '稀饭': 2.0, '米粉': 1.0, '米粒': 6.0, '米粥': 2.0, '米糊': 16.0, '糊状': 3.0, '紫薯': 2.0, '红薯': 2.0, '纤维': 1.0, '绞肉': 31.0, '肉末': 2.0, '肉松': 3.0, '肉粥': 1.0, '肉酱': 1.0, '肉馅': 7.0, '芋头': 2.0, '苹果': 10.0, '菜叶': -1.0, '菜泥': 1.0, '菠萝': 1.0, '萝卜': -1.0, '葡萄': 1.0, '蒜末': 1.0, '蔬菜': 3.0, '虾皮': 1.0, '订单': -1.0, '转数': -1.0, '转速': 3.0, '辅食': 50.0, '食材': -2.0, '食物': 19.0, '香肠': 1.0, '香蕉': 2.0, '鱼肉': 2.0, '功能性': 1.0, '土豆泥': 8.0, '很给力': 2.0, '打蛋器': 2.0, '榨汁机': 5.0, '水果汁': 3.0, '猕猴桃': 1.0, '玉米渣': 1.0, '番茄汁': 1.0, '研磨机': 1.0, '红萝卜': 2.0, '绞肉机': 4.0, '胡萝卜': 9.0, '芒果汁': 1.0, '苹果汁': 1.0, '苹果泥': 43.0, '蓝莓汁': 1.0, '蔬菜泥': 8.0, '西瓜汁': 1.0, '速度快': 6.0, '饺子馅': 1.0, '香蕉泥': 3.0, '一段时间': -1.0, '木瓜牛奶': 1.0, '蔬菜水果': 1.0, '间隔时间': 1.0}, '服务': {'买家': 1.0, '五星': 1.0, '亲们': 3.0, '包装': 206.0, '包裹': 0.0, '包邮': 1.0, '卖家': 46.0, '口碑': 1.0, '好评': 28.0, '客服': 73.0, '店家': 13.0, '店铺': 2.0, '态度': 127.0, '果泥': 32.0, '理念': 1.0, '盒子': -2.0, '票据': 1.0, '箱子': -2.0, '米兰': 2.0, '米雪': 4.0, '联保': -1.0, '薇薇': 1.0, '赠品': -2.0, '包得很': 2.0, '唐老鸭': 2.0, '外包装': 0.0, '实体店': 1.0, '店主人': 1.0, '说明书': 0.0, '产品包装': -1.0, '售后服务': 4.0, '有问必答': 3.0, '服务态度': 131.0, '非常感谢': 1.0}, '款式': {'体型': 1.0, '体积': 1.0, '分量': 9.0, '塑料': 5.0, '外型': 5.0, '外形': 29.0, '外表': 3.0, '大小': 52.0, '手感': 5.0, '按键': 1.0, '机身': 5.0, '样式': 5.0, '款式': 9.0, '硅胶': -1.0, '神器': 2.0, '粉色': 32.0, '颜值': 116.0, '颜色': 92.0, '黄色': 4.0, '体积小': 2.0, '容量大': 1.0, '很漂亮': 22.0, '粉红色': 2.0, '产品设计': 2.0, '外观设计': 2.0}, '质量': {'刀头': 7.0, '刀子': 5.0, '商品': 2.0, '嗓音': 2.0, '噪声': 0.0, '噪音': 24.0, '嚼碎': 1.0, '声音': -52.0, '宝物': 0.0, '实力': 1.0, '实物': 13.0, '小块': 1.0, '开关': 3.0, '成品': 1.0, '挺厚': -1.0, '挺好': 150.0, '摔碎': -1.0, '毛刺': 1.0, '液体': 1.0, '牛逼': 1.0, '物件': 1.0, '物美': 2.0, '环保': 6.0, '玻璃': 97.0, '用料': 1.0, '电线': 2.0, '盖子': 2.0, '细点': 1.0, '质量': 513.0, '间隙': -1.0, '发热量': 1.0, '塑料味': -1.0, '好评率': -1.0, '安全很': 1.0, '安全性': 1.0, '实用性': 5.0, '密封圈': 1.0, '期待值': -1.0, '玻璃碗': 2.0, '粉碎性': 1.0, '耐高温': 1.0, '试一下': 1.0, '退换货': -1.0, '防滑垫': 1.0, '使用寿命': 1.0, '换来换去': -1.0, '注意安全': -1.0, '玻璃器皿': -1.0}}","{'产品功能': '榨汁\xa0切菜\xa0制奶昔\xa0绞肉', '适用人数': '1-3人', '颜色分类': '粉色'}"
24,jeff/杰孚,FX-A5,2.0,796.0,{'3': '全自动'},{'服务': {'服务态度': 1.0}},"{'产品功能': '榨汁\xa0碎冰\xa0搅拌\xa0制奶昔', '适用人数': '4-5人', '颜色分类': '黑色'}"
25,韩伟,M730,2.0,998.0,"{'3': '全自动', '6': '智能'}",,"{'产品功能': '豆浆\xa0榨汁\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0打蛋\xa0制奶昔\xa0混合\xa0绞肉', '适用人数': '1-6人', '颜色分类': '红色'}"
26,joyoung/九阳, JYL-Y6,3.0,2097.0,{'4': '婴儿辅食'},{'质量': {'质量': 2.0}},"{'产品功能': '酱汁、冰沙、浓汤、坚果\xa0榨汁\xa0搅拌\xa0制奶昔\xa0混合', '适用人数': '4-5人', '颜色分类': '黄色'}"
27,德能,BL-13A,3.0,597.0,{'2': '大容量'},{'质量': {'挺好': 1.0}},"{'产品功能': '榨汁\xa0搅拌\xa0制奶昔', '适用人数': '5人及以上', '颜色分类': '紫色'}"
28,bear/小熊,JBQ-A05D2,3424.0,630824.0,"{'4': '婴儿辅食', '5': '小容量', '7': '手持'}","{'功能': {'一块': 1.0, '功率': 9.0, '南瓜': 1.0, '土豆': 1.0, '手法': 1.0, '打蛋': 2.0, '搅碎': 2.0, '效率': 3.0, '构造': 0.0, '果子': 1.0, '果汁': 23.0, '果肉': -1.0, '核桃': 1.0, '梨汁': 1.0, '棒子': 0.0, '榨汁': 4.0, '橙汁': 0.0, '水果': 3.0, '渣渣': 1.0, '猪肉': -1.0, '用途': 9.0, '碎肉': 2.0, '稀饭': -1.0, '程序': -1.0, '米粉': 1.0, '米糊': 5.0, '粉末': 2.0, '糊状': 1.0, '糖粉': 1.0, '紫米': 1.0, '纤维': 0.0, '绞碎': 1.0, '绞肉': 63.0, '肉丸': 1.0, '肉末': 1.0, '肉松': 7.0, '肉酱': 1.0, '肉馅': 12.0, '芝麻': 1.0, '花生': 1.0, '苹果': -2.0, '草莓': 1.0, '菜泥': 2.0, '蓝莓': 1.0, '蔬果': 1.0, '虾丸': 1.0, '虾皮': 0.0, '蛋挞': 1.0, '蛋清': 1.0, '西瓜': 1.0, '设备': 1.0, '豆浆': 0.0, '转速': 4.0, '辅食': 12.0, '食材': 0.0, '食物': 0.0, '香蕉': 1.0, '鸡肉': 0.0, '鸡蛋': 1.0, '内包装': 1.0, '功能性': 1.0, '发动机': 1.0, '土豆泥': 3.0, '大米粥': 1.0, '很给力': 2.0, '打蛋器': -15.0, '打鸡蛋': 1.0, '果汁机': 2.0, '榨汁机': 1.0, '橘子汁': 1.0, '牛肉馅': 1.0, '猕猴桃': -1.0, '番茄汁': 1.0, '绞肉机': 5.0, '肉丸子': 1.0, '胡萝卜': 2.0, '芒果汁': 1.0, '苹果汁': 0.0, '苹果泥': 10.0, '蔓越莓': 1.0, '蔬菜汁': -1.0, '蔬菜泥': 3.0, '西兰花': 1.0, '西瓜汁': 5.0, '速度快': 0.0, '饺子馅': 0.0, '黄瓜汁': 1.0, '黑芝麻': 0.0, '基本功能': 1.0, '工作效率': -1.0, '省时省力': 1.0}, '服务': {'买家': 1.0, '信用': -1.0, '包装': 159.0, '包裹': 3.0, '卖家': 17.0, '发票': -1.0, '口碑': 1.0, '好评': 61.0, '客户': 1.0, '客服': 52.0, '小浩': 2.0, '差评': -1.0, '店主': 2.0, '店家': 4.0, '态度': 62.0, '果泥': 14.0, '盒子': -1.0, '箱子': -1.0, '纸箱': 1.0, '赠品': 2.0, '保修卡': 1.0, '包装盒': -2.0, '包装箱': 1.0, '外包装': 0.0, '讲信用': 1.0, '说明书': 1.0, '负责任': 1.0, '产品包装': 2.0, '售后服务': 3.0, '服务态度': 63.0, '热情周到': 1.0}, '款式': {'体积': -1.0, '分量': 0.0, '印象': 1.0, '塑料': 0.0, '外形': 1.0, '大小': 2.0, '手感': 12.0, '按键': 1.0, '样式': 1.0, '款式': 3.0, '白色': -1.0, '神器': 3.0, '长相': 1.0, '颜值': 13.0, '颜色': 2.0, '很漂亮': 1.0, '产品设计': 1.0, '外观设计': 1.0}, '质量': {'假货': -1.0, '刀头': 2.0, '刀子': 0.0, '利器': 1.0, '原料': 1.0, '厨房': -1.0, '商品': 4.0, '噪音': 4.0, '声音': 43.0, '实物': 3.0, '寿命': 1.0, '工艺': 1.0, '开关': -1.0, '性能': 3.0, '把手': 1.0, '挺好': 59.0, '损失': 1.0, '杂音': -1.0, '毛刺': -1.0, '水量': 1.0, '物件': 1.0, '玻璃': 3.0, '瑕疵': 1.0, '盖子': 0.0, '缝隙': 4.0, '螺丝': 1.0, '触感': 1.0, '质量': 282.0, '零件': -2.0, '不锈钢': 1.0, '发热量': 1.0, '塑料杯': 1.0, '实用性': 1.0, '替代品': 1.0, '朋友们': 1.0, '淡奶油': 1.0, '粉碎性': 2.0, '试一下': 1.0, '退换货': -1.0, '颗粒状': 1.0, '马达很': 1.0, '身体健康': 1.0}}","{'产品功能': '榨汁 切菜 绞肉 干磨 搅拌 打蛋 制奶昔 混合 绞肉', '适用人数': '1-3人', '颜色分类': '咖啡色'}"
29,joyoung/九阳, JYL-Y92,1.0,759.0,{'3': '全自动'},,"{'产品功能': '榨汁 切菜 绞肉 碎冰 干磨 搅拌 制奶昔 混合 绞肉', '适用人数': '4-5人', '颜色分类': '黑色'}"
